tweet_id,timestamp_datetime,text,dog_name,rating_avg,source_text,jpg_url,favorite_count,retweet_count,rank
892420643555336193,2017-08-01 16:23:56,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10 https://t.co/MgUWQ76dJU,Phineas,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DGKD1-bXoAAIAUK.jpg,,,
892177421306343426,2017-08-01 00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 https://t.co/0Xxu71qeIV",Tilly,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,,,
891815181378084864,2017-07-31 00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 https://t.co/wUnZnhtVJB,Archie,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,25445.0,4301.0,
891689557279858688,2017-07-30 15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,Darla,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,42863.0,8925.0,
891327558926688256,2017-07-29 16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek https://t.co/AtUZn91f7f",Franklin,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,41016.0,9721.0,
891087950875897856,2017-07-29 00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek https://t.co/kQ04fDDRmh,,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,20548.0,3240.0,
890971913173991426,2017-07-28 16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl",Jax,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,,,
890729181411237888,2017-07-28 00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 https://t.co/v0nONBcwxq,,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,66596.0,19548.0,
890609185150312448,2017-07-27 16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek https://t.co/9TwLuAGH0b,Zoey,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,28187.0,4403.0,
890240255349198849,2017-07-26 15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate https://t.co/t1bfwz5S2A,Cassie,14.0,Twitter for iPhone,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,,,doggo
890006608113172480,2017-07-26 00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek https://t.co/dVPW0B0Mme,Koda,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,31127.0,7584.0,
889880896479866881,2017-07-25 16:11:53,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy https://t.co/u1XPQMl29g,Bruno,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,,,
889665388333682689,2017-07-25 01:55:32,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/BxvuXk0UCm,,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,,,puppo
889638837579907072,2017-07-25 00:10:02,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,Ted,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,27633.0,4705.0,
889531135344209921,2017-07-24 17:02:04,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek https://t.co/y70o6h3isq,Stuart,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,,,puppo
889278841981685760,2017-07-24 00:19:32,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek https://t.co/WpHvrQedPb,Oliver,13.0,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,25712.0,5635.0,
888917238123831296,2017-07-23 00:22:39,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,Jim,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,29555.0,4681.0,
888804989199671297,2017-07-22 16:56:37,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best https://t.co/HTQ77yNQ5K,Zeke,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,,,
888554962724278272,2017-07-22 00:23:06,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,Ralphus,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,20267.0,3722.0,
888078434458587136,2017-07-20 16:49:33,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway https://t.co/DK7iDPfuRX,Gerald,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,22144.0,3637.0,
887705289381826560,2017-07-19 16:06:48,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic https://t.co/PhrUk20Q64,Jeffrey,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,30690.0,5584.0,
887517139158093824,2017-07-19 03:39:09,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy) https://t.co/20VrLAA8ba,,14.0,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,46940.0,12053.0,
887473957103951883,2017-07-19 00:47:34,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her https://t.co/cLyzpcUcMX,Canela,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,,,
887343217045368832,2017-07-18 16:08:03,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo) https://t.co/WZqNqygEyV,,13.0,Twitter for iPhone,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,34223.0,10713.0,
887101392804085760,2017-07-18 00:07:08,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof https://t.co/4Ad1jzJSdp,,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,31045.0,6147.0,
886983233522544640,2017-07-17 16:17:36,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in https://t.co/I6oNy0CgiT,Maya,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,35786.0,8045.0,
886736880519319552,2017-07-16 23:58:41,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff https://t.co/ISvKOSkd5b",Mingus,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,12286.0,3420.0,
886680336477933568,2017-07-16 20:14:00,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal https://t.co/BCoWue0abA,Derek,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,22802.0,4597.0,
886366144734445568,2017-07-15 23:25:31,This is Roscoe. Another pupper fallen victim to spontaneous tongue ejections. Get the BlepiPen immediate. 12/10 deep breaths Roscoe https://t.co/RGE08MIJox,Roscoe,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,21488.0,3297.0,pupper
886258384151887873,2017-07-15 16:17:19,This is Waffles. His doggles are pupside down. Unsure how to fix. 13/10 someone assist Waffles https://t.co/xZDA9Qsq1O,Waffles,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,,,
885984800019947520,2017-07-14 22:10:11,Viewer discretion advised. This is Jimbo. He will rip ur finger right h*ckin off. Other dog clearly an accessory. 12/10 pls pet with caution https://t.co/BuveP0uMF1,Jimbo,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,33299.0,7043.0,
885528943205470208,2017-07-13 15:58:47,This is Maisey. She fell asleep mid-excavation. Happens to the best of us. 13/10 would pat noggin approvingly https://t.co/tp1kQ8i9JF,Maisey,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,36592.0,6642.0,
885167619883638784,2017-07-12 16:03:00,Here we have a corgi undercover as a malamute. Pawbably doing important investigative work. Zero control over tongue happenings. 13/10 https://t.co/44ItaMubBf,,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,22304.0,4526.0,
884925521741709313,2017-07-12 00:01:00,"This is Earl. He found a hat. Nervous about what you think of it. 12/10 it's delightful, Earl https://t.co/MYJvdlNRVa",Earl,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,,,
884876753390489601,2017-07-11 20:47:12,This is Lola. It's her first time outside. Must test the earth and taste the atmosphere. 13/10 you're doing great Lola https://t.co/74TKAUsLkO,Lola,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,,,
884562892145688576,2017-07-11 00:00:02,This is Kevin. He's just so happy. 13/10 what is your secret Kevin https://t.co/1r4MFCbCX5,Kevin,13.0,Twitter for iPhone,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,24716.0,5076.0,
884441805382717440,2017-07-10 15:58:53,"I present to you, Pup in Hat. Pup in Hat is great for all occasions. Extremely versatile. Compact as h*ck. 14/10 (IG: itselizabethgales) https://t.co/vvBOcC2VdC",,14.0,Twitter for iPhone,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,27443.0,5836.0,
884162670584377345,2017-07-09 21:29:42,Meet Yogi. He doesn't have any important dog meetings today he just enjoys looking his best at all times. 12/10 for dangerously dapper doggo https://t.co/YSI00BzTBZ,Yogi,12.0,Twitter for iPhone,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,,,doggo
